domain,actual_layer,kv_head,mpc,redundant_fraction
ppl03L_technical,5,3,0.383294,0.996212
ppl03L_technical,5,4,0.262075,0.996212
ppl03L_technical,5,5,0.404458,0.996212
ppl03L_technical,5,6,0.898996,0.996212
ppl03L_technical,5,7,0.381163,0.996212
ppl03L_technical,6,0,0.328895,0.996212
ppl03L_technical,6,1,0.181916,0.996212
ppl03L_technical,6,2,0.461420,0.996212
ppl03L_technical,6,3,0.734712,0.996212
ppl03L_technical,6,4,0.674720,0.996212
ppl03L_technical,6,5,0.686572,0.996212
ppl03L_technical,6,6,0.278598,0.996212
ppl03L_technical,6,7,0.673283,0.996212
ppl03L_technical,7,0,0.242585,0.996212
ppl03L_technical,7,1,0.465746,0.996212
ppl03L_technical,7,2,0.380859,0.996212
ppl03L_technical,7,3,0.404732,0.996212
ppl03L_technical,7,4,0.731044,0.996212
ppl03L_technical,7,5,0.323132,0.996212
ppl03L_technical,7,6,0.356099,0.996212
ppl03L_technical,7,7,0.652463,0.996212
ppl03L_technical,8,0,0.318158,0.996212
ppl03L_technical,8,1,0.748048,0.996212
ppl03L_technical,8,2,0.428768,0.996212
ppl03L_technical,8,3,0.343318,0.996212
ppl03L_technical,8,4,0.464116,0.996212
ppl03L_technical,8,5,0.380519,0.996212
ppl03L_technical,8,6,0.508288,0.996212
ppl03L_technical,8,7,0.348492,0.996212
ppl03L_technical,9,0,0.628620,0.996212
ppl03L_technical,9,1,0.595605,0.996212
ppl03L_technical,9,2,0.579675,0.996212
ppl03L_technical,9,3,0.777637,0.996212
ppl03L_technical,9,4,0.413785,0.996212
ppl03L_technical,9,5,0.730017,0.996212
ppl03L_technical,9,6,0.232344,0.996212
ppl03L_technical,9,7,0.752314,0.996212
ppl03L_technical,10,0,0.502709,0.996212
ppl03L_technical,10,1,0.661287,0.996212
ppl03L_technical,10,2,0.664615,0.996212
ppl03L_technical,10,3,0.394598,0.996212
ppl03L_technical,10,4,0.603612,0.996212
ppl03L_technical,10,5,0.673127,0.996212
ppl03L_technical,10,6,0.360342,0.996212
ppl03L_technical,10,7,0.457084,0.996212
ppl03L_technical,11,0,0.773969,0.996212
ppl03L_technical,11,1,0.342190,0.996212
